,Unnamed: 0.1,Unnamed: 0,file,rubrics,keywords,title,city,genre,date,texts,tokens
20063378,216446,216446,27318916.xml,pl,Frankreich Pressestimmen EZB Währung,«Le Monde»: Problematik einer gemeinsamen Geldpolitik.,Paris,,2011-04-09,"Er wird begleitet von einer geringfügigen Inflation: 2,6 Prozent in der Eurozone im März, wobei die EZB sich eine Obergrenze von zwei Prozent gesetzt hat.","[['begleitet', 'geringfug', 'inflation', 'prozent', 'eurozon', 'marz', 'wobei', 'ezb', 'obergrenz', 'zwei', 'prozent', 'gesetzt']]"
20073739,226807,226807,27369642.xml,wi,Konjunktur Preise,(Gesamtzusammenfassung 1530) Experten: Wirtschaftsdynamik in Deutschland schwächt sich ab.,Berlin,,2011-04-12,Die Inflation lag damit zum dritten Mal in diesem Jahr über der Warnschwelle der EZB von knapp unter zwei Prozent.,"[['inflation', 'lag', 'dritt', 'mal', 'jahr', 'warnschwell', 'ezb', 'knapp', 'zwei', 'prozent']]"
20087795,240863,240863,27424683.xml,wi,EU China USA Preise Verbraucher,"(Gesamtzusammenfassung 1700) Weltweit klettert die Inflation - Gefahr für Konjunktur Von Marion Trimborn, dpa.",Luxemburg/Peking/Washington,,2011-04-15,"Weil die Inflation den Aufschwung bedroht, hat die EZB bereits vor einer Woche den Leitzins um 0,25 Punkte auf 1,25 Prozent angehoben.","[['inflation', 'aufschwung', 'bedroht', 'ezb', 'bereit', 'woch', 'leitzin', 'punkt', 'prozent', 'angehob']]"
20117827,270895,270895,27515870.xml,wi,Währung Euro,"(Zusammenfassung 1700) Euro steigt erstmals seit 16 Monaten über die Marke von 1,47 Dollar.",Frankfurt/Main,,2011-04-27,"Die EZB hatte bereits Anfang April ihren Leitzins um 0,25 Prozentpunkte auf 1,25 Prozent angehoben, um die Inflation zu bekämpfen.","[['ezb', 'bereit', 'anfang', 'april', 'leitzin', 'prozentpunkt', 'prozent', 'angehob', 'inflation', 'bekampf']]"
20124058,277126,277126,27530443.xml,wi,EU Preise Verbraucher,Inflationsdruck in Eurozone steigt weiter.,Luxemburg,,2011-04-29,Preisstabilität ist nach den Regeln der Europäischen Zentralbank nur bei Inflationsraten von bis zu oder nahe 2 Prozent gewährleistet.,"[['preisstabilitat', 'regeln', 'europa', 'zentralbank', 'inflationsrat', 'nah', 'prozent', 'gewahrleistet']]"
20124677,277745,277745,27532700.xml,wi,Tarife Arbeit Preise,(Zusammenfassung 1415) Inflation frisst Tarifplus - Teuerung in Eurozone rennt.,Wiesbaden/Brüssel,,2011-04-29,"Preisstabilität ist nach den Regeln der EZB bei Inflationsraten von «unter, aber nahe bei 2 Prozent» gewährleistet.","[['preisstabilitat', 'regeln', 'ezb', 'inflationsrat', '«', 'nah', 'prozent', '»', 'gewahrleistet']]"
20141900,294968,294968,27609654.xml,wi,EZB Zinsen,(Vorausmeldung) EZB berät über Geldpolitik: Zinspause erwartet.,Frankfurt/Helsinki,,2011-05-04,Frankfurt/Helsinki Die Europäische Zentralbank (EZB) wird heute (Donnerstag) voraussichtlich trotz der anziehenden Inflation eine Zinspause einlegen.,"[['frankfurthelsinki', 'europa', 'zentralbank', 'ezb', 'heut', 'donnerstag', 'voraussicht', 'trotz', 'anzieh', 'inflation', 'zinspaus', 'einleg']]"
20143679,296747,296747,27621897.xml,wi,EZB Zinsen,"(Überblick 1345) EZB hält Leitzins im Euro-Raum bei 1,25 Prozent.",Helsinki/Frankfurt,,2011-05-05,Diese Zinspause beschloss der Rat der Europäischen Zentralbank (EZB) trotz der anziehenden Inflation bei seiner auswärtigen Ratssitzung am Donnerstag in Helsinki.,"[['zinspaus', 'beschloss', 'rat', 'europa', 'zentralbank', 'ezb', 'trotz', 'anzieh', 'inflation', 'auswart', 'ratssitz', 'donnerstag', 'helsinki']]"
20143722,296790,296790,27621984.xml,wi,EZB Zinsen,"(Zusammenfassung 1400) EZB mit Zinspause - Leitzins bei 1,25 Prozent.",Helsinki/Frankfurt,,2011-05-05,Die EZB ist in der Zwickmühle: Die Inflation rennt - das schreit nach höheren Zinsen.,"[['ezb', 'zwickmuhl', 'inflation', 'rennt', 'schreit', 'hoh', 'zins']]"
20144869,297937,297937,27628138.xml,wi,EZB Zinsen,"(Zusammenfassung 1645) EZB legt Zinspause ein - Inflationsrisiken bleiben Von Harald Schmidt, dpa.",Helsinki,,2011-05-05,"Nach der ersten vorsichtigen Straffung der Geldpolitik im April hält die Europäische Zentralbank (EZB) ihr weiteres Pulver vorerst trocken: Der Leitzins im Euro-Raum bleibt wie erwartet bei 1,25 Prozent - trotz der anziehenden Inflation.","[['erst', 'vorsicht', 'straffung', 'geldpolit', 'april', 'halt', 'europa', 'zentralbank', 'ezb', 'weit', 'pulv', 'vorerst', 'trock', 'leitzin', 'euroraum', 'bleibt', 'erwartet', 'prozent', 'trotz', 'anzieh', 'inflation']]"
20144874,297942,297942,27628138.xml,wi,EZB Zinsen,"(Zusammenfassung 1645) EZB legt Zinspause ein - Inflationsrisiken bleiben Von Harald Schmidt, dpa.",Helsinki,,2011-05-05,"Trichet betonte: «Wir werden immer alles tun, um Preisstabilität zu garantieren.» Im April war die Inflation im Euroraum auf 2,8 Prozent gestiegen.","[['trichet', 'betont', '«', 'imm', 'tun', 'preisstabilitat', 'garanti', '»', 'april', 'inflation', 'euroraum', 'prozent', 'gestieg']]"
20162856,315924,315924,27696539.xml,wi,Preise Verbraucher,(Zusammenfassung 1400) Verbraucherpreise ziehen kräftig an - Ende der Sprit-Rekorde? (Mit Grafik Nr. 14668).,Wiesbaden,,2011-05-11,Die EZB rechnet auch in den kommenden Monaten mit einer Inflation im Euroraum über ihrem Zielwert.,"[['ezb', 'rechnet', 'kommend', 'monat', 'inflation', 'euroraum', 'zielwert']]"
20164370,317438,317438,27698969.xml,wi,Währung Euro,"(Zusammenfassung 1700) Euro sinkt unter 1,43 Dollar - Pfund im Aufwind.",Frankfurt/Main,,2011-05-11,"«Währungen von Ländern mit hoher Inflation und zugleich schwachem Wachstum müssen eigentlich ab- und nicht aufwerten.» Zu anderen wichtigen Währungen legte die EZB die Referenzkurse für einen Euro auf 0,87075 (0,87790) britische Pfund, 116,47 (115,72) japanische Yen und 1,2661 (1,2602) Schweizer Franken fest.","[['«', 'wahrung', 'land', 'hoh', 'inflation', 'zugleich', 'schwach', 'wachstum', 'muss', 'eigent', 'ab', 'nicht', 'aufwert', '»', 'wichtig', 'wahrung', 'legt', 'ezb', 'referenzkurs', 'euro', 'britisch', 'pfund', 'japan', 'yen', 'schweiz', 'frank', 'fest']]"
20166190,319258,319258,27704839.xml,wi,EZB Zinsen Preise,Inflation: EZB sieht anhaltenden Preisdruck.,Frankfurt/Main,,2011-05-12,Inflation: EZB sieht anhaltenden Preisdruck.,"[['inflation', 'ezb', 'sieht', 'anhalt', 'preisdruck']]"
20170248,323316,323316,27713535.xml,wi,Konjunktur BIP,(Überblick 0815) Deutscher Wirtschaftsaufschwung gewinnt kräftig an Fahrt.,Wiesbaden,,2011-05-13,Im Kampf gegen die Inflation hatte die Europäische Zentralbank im April die Zinsen erstmals seit der Finanzkrise angehoben.,"[['kampf', 'inflation', 'europa', 'zentralbank', 'april', 'zins', 'erstmal', 'seit', 'finanzkris', 'angehob']]"
20170641,323709,323709,27716512.xml,wi,Konjunktur BIP,"(Zusammenfassung 1030) Deutscher Aufschwung gewinnt kräftig an Fahrt Von Harald Schmidt und Stephan Scheuer, dpa (Mit Bild).",Wiesbaden,,2011-05-13,Im Kampf gegen die Inflation hatte die Europäische Zentralbank im April die Zinsen erstmals seit der Finanzkrise angehoben.,"[['kampf', 'inflation', 'europa', 'zentralbank', 'april', 'zins', 'erstmal', 'seit', 'finanzkris', 'angehob']]"
20175513,328581,328581,27744022.xml,wi,Finanzen EU,(Medien-Info) EZB-Chef Trichet: «Es gibt keine Krise des Euro».,Berlin,,2011-05-15,Trichet verwies auf die stabile Entwicklung der Gemeinschaftswährung in den vergangenen zwölf Jahren: «Wir haben die Kaufkraft des Euro bewahrt.» Seit über zwölf Jahren habe die Europäische Zentralbank gemeinsam mit den nationalen Zentralbanken ihre Aufgabe erfüllt.,"[['trichet', 'verwi', 'stabil', 'entwickl', 'gemeinschaftswahr', 'vergang', 'zwolf', 'jahr', '«', 'kaufkraft', 'euro', 'bewahrt', '»', 'seit', 'zwolf', 'jahr', 'europa', 'zentralbank', 'gemeinsam', 'national', 'zentralbank', 'aufgab', 'erfullt']]"
20179002,332070,332070,27758779.xml,wi,Verbraucher EU Preise,"Eurozone: Inflationsrate steigt auf 2,8 Prozent.",Luxemburg,,2011-05-16,Die Inflation hat sich damit noch weiter vom Zielwert der Europäischen Zentralbank (EZB) entfernt.,"[['inflation', 'zielwert', 'europa', 'zentralbank', 'ezb', 'entfernt']]"
20179003,332071,332071,27758779.xml,wi,Verbraucher EU Preise,"Eurozone: Inflationsrate steigt auf 2,8 Prozent.",Luxemburg,,2011-05-16,Die EZB strebt mittelfristig eine Inflationsrate von knapp zwei Prozent an.,"[['ezb', 'strebt', 'mittelfrist', 'inflationsrat', 'knapp', 'zwei', 'prozent']]"
20194228,347296,347296,27805285.xml,wi,Konjunktur Preise Bundesregierung,Finanzministerium: Weiteres Wachstum weniger dynamisch.,Berlin,,2011-05-20,Dies ist oberhalb des von der Europäischen Zentralbank (EZB) mittelfristig anvisierten Zielbereichs einer Inflationsrate von knapp unter 2 Prozent.,"[['oberhalb', 'europa', 'zentralbank', 'ezb', 'mittelfrist', 'anvisiert', 'zielbereich', 'inflationsrat', 'knapp', 'prozent']]"
20212294,365362,365362,27861097.xml,wi,EU Finanzen,Künftiger EZB-Chef Draghi: Zinsen werden steigen.,Berlin,,2011-05-25,Berlin Der künftige EZB-Chef Mario Draghi hält langfristig weitere Zinserhöhungen im Euro-Raum zur Eindämmung der Inflation für wahrscheinlich.,"[['berlin', 'kunftig', 'ezbchef', 'mario', 'draghi', 'halt', 'langfrist', 'weit', 'zinserhoh', 'euroraum', 'eindamm', 'inflation', 'wahrschein']]"
20212295,365363,365363,27861097.xml,wi,EU Finanzen,Künftiger EZB-Chef Draghi: Zinsen werden steigen.,Berlin,,2011-05-25,"«Die Solidität des Wirtschaftswachstums kann durch die Inflation unterminiert werden», warnte Draghi am Mittwoch bei einer Veranstaltung des CDU-Wirtschaftsrates in Berlin.","[['«', 'soliditat', 'wirtschaftswachstum', 'inflation', 'unterminiert', '»', 'warnt', 'draghi', 'mittwoch', 'veranstalt', 'cduwirtschaftsrat', 'berlin']]"
20231482,384550,384550,27903148.xml,wi,EU Preise Verbraucher,Inflationsdruck in Eurozone schwächt sich leicht ab.,Luxemburg,,2011-05-31,Preisstabilität ist nach den Regeln der Europäischen Zentralbank nur bei Inflationsraten von bis zu oder nahe 2 Prozent gewährleistet.,"[['preisstabilitat', 'regeln', 'europa', 'zentralbank', 'inflationsrat', 'nah', 'prozent', 'gewahrleistet']]"
20260211,413279,413279,27967464.xml,wi,EZB Zinsen,(Vorausmeldung) Griechenland-Krise im Fokus der EZB-Sitzung.,Frankfurt/Main,,2011-06-08,Die EZB legt heute (Donnerstag) auch ihre neuen Prognosen für Wachstum und Inflation vor.,"[['ezb', 'legt', 'heut', 'donnerstag', 'neu', 'prognos', 'wachstum', 'inflation']]"
20262543,415611,415611,27973468.xml,wi,EZB Preise Konjunktur,EZB rechnet mit starkem Preisschub in diesem Jahr - Prognose erhöht.,Frankfurt/Main,,2011-06-09,"Getrieben von einem Schub bei den Energie- und Rohstoffpreisen werde die Inflation im laufenden Jahr auf 2,6 Prozent (Spanne: 2,5 bis 2,7) zulegen, sagte der Präsident der Europäischen Zentralbank (EZB), Jean-Claude Trichet, am Donnerstag in Frankfurt am Main.","[['getrieb', 'schub', 'energi', 'rohstoffpreis', 'inflation', 'laufend', 'jahr', 'prozent', 'spann', 'zuleg', 'sagt', 'prasident', 'europa', 'zentralbank', 'ezb', 'jeanclaud', 'trichet', 'donnerstag', 'frankfurt', 'main']]"
20262546,415614,415614,27973468.xml,wi,EZB Preise Konjunktur,EZB rechnet mit starkem Preisschub in diesem Jahr - Prognose erhöht.,Frankfurt/Main,,2011-06-09,"Zuvor hatte Trichet bereits betont, dass wegen der gestiegenen Inflation «hohe Wachsamkeit» geboten ist.","[['zuvor', 'trichet', 'bereit', 'betont', 'weg', 'gestieg', 'inflation', '«', 'hoh', 'wachsam', '»', 'gebot']]"
20262548,415616,415616,27973468.xml,wi,EZB Preise Konjunktur,EZB rechnet mit starkem Preisschub in diesem Jahr - Prognose erhöht.,Frankfurt/Main,,2011-06-09,"2012 werde sich die Lage dann wieder entspannen: Für das kommende Jahr gehen die Experten der EZB weiter von einer Inflationsrate von 1,7 Prozent (Spanne: 1,1 bis 2,3) aus.","[['lag', 'entspann', 'kommend', 'jahr', 'geh', 'expert', 'ezb', 'inflationsrat', 'prozent', 'spann']]"
20263447,416515,416515,27974828.xml,wi,EZB Preise Konjunktur,"(Zusammenfassung 1700) EZB signalisiert Leitzins-Erhöhung im Juli - Warnung vor Umschuldung Von Stephan Scheuer, dpa und Bernd Zeberl, dpa-AFX (Mit Bildern).",Frankfurt/Main,,2011-06-09,"Doch die hohe Inflation zwingt die Währungshüter zu «hoher Wachsamkeit», wie EZB-Präsident Jean-Claude Trichet am Donnerstag in Frankfurt sagte.","[['hoh', 'inflation', 'zwingt', 'wahrungshut', '«', 'hoh', 'wachsam', '»', 'ezbprasident', 'jeanclaud', 'trichet', 'donnerstag', 'frankfurt', 'sagt']]"
20263449,416517,416517,27974828.xml,wi,EZB Preise Konjunktur,"(Zusammenfassung 1700) EZB signalisiert Leitzins-Erhöhung im Juli - Warnung vor Umschuldung Von Stephan Scheuer, dpa und Bernd Zeberl, dpa-AFX (Mit Bildern).",Frankfurt/Main,,2011-06-09,Doch die Inflation ist derzeit nicht das größte Problem für Trichet: Die nicht enden wollende Schuldenkrise Griechenlands wird zunehmend zur Zerreißprobe für die Eurozone.,"[['inflation', 'derzeit', 'nicht', 'grosst', 'probl', 'trichet', 'nicht', 'end', 'wollend', 'schuldenkris', 'griechenland', 'zunehm', 'zerreissprob', 'eurozon']]"
20263462,416530,416530,27974828.xml,wi,EZB Preise Konjunktur,"(Zusammenfassung 1700) EZB signalisiert Leitzins-Erhöhung im Juli - Warnung vor Umschuldung Von Stephan Scheuer, dpa und Bernd Zeberl, dpa-AFX (Mit Bildern).",Frankfurt/Main,,2011-06-09,Neben den Schulden Griechenlands dürfte Trichet auch die Inflation weiter Kopfzerbrechen bereiten.,"[['neb', 'schuld', 'griechenland', 'durft', 'trichet', 'inflation', 'kopfzerbrech', 'bereit']]"
20263465,416533,416533,27974828.xml,wi,EZB Preise Konjunktur,"(Zusammenfassung 1700) EZB signalisiert Leitzins-Erhöhung im Juli - Warnung vor Umschuldung Von Stephan Scheuer, dpa und Bernd Zeberl, dpa-AFX (Mit Bildern).",Frankfurt/Main,,2011-06-09,"Damit liegt die Inflation in diesem Jahr deutlich über dem von der EZB angepeilten Zielwert von 2,0 Prozent.","[['liegt', 'inflation', 'jahr', 'deutlich', 'ezb', 'angepeilt', 'zielwert', 'prozent']]"
20263467,416535,416535,27974828.xml,wi,EZB Preise Konjunktur,"(Zusammenfassung 1700) EZB signalisiert Leitzins-Erhöhung im Juli - Warnung vor Umschuldung Von Stephan Scheuer, dpa und Bernd Zeberl, dpa-AFX (Mit Bildern).",Frankfurt/Main,,2011-06-09,Beim Kampf gegen die Inflation und dem Weg aus der Krise ringt die EZB mit einer extrem unterschiedlichen Entwicklung in den 17 Euro-Staaten.,"[['beim', 'kampf', 'inflation', 'kris', 'ringt', 'ezb', 'extr', 'unterschied', 'entwickl', 'eurostaat']]"
20265483,418551,418551,27978906.xml,wi,Preise Verbraucher,Inflation bleibt auf hohem Niveau.,Wiesbaden,,2011-06-10,Die Europäische Zentralbank (EZB) sieht nur knapp unterhalb dieser Schwelle keine Gefahr für den Geldwert.,"[['europa', 'zentralbank', 'ezb', 'sieht', 'knapp', 'unterhalb', 'schwell', 'kein', 'gefahr', 'geldwert']]"
20268083,421151,421151,27983910.xml,wi,Preise Verbraucher,"(Zusammenfassung 1800 - neu: Einschätzung EZB-Direktoriumsmitglied) Inflation bleibt auf hohem Niveau - Essen teurer Von Heiko Lossie, dpa.",Wiesbaden,,2011-06-10,Die Europäische Zentralbank (EZB) sieht nur knapp unterhalb dieser Schwelle keine Gefahr für den Geldwert.,"[['europa', 'zentralbank', 'ezb', 'sieht', 'knapp', 'unterhalb', 'schwell', 'kein', 'gefahr', 'geldwert']]"
20268089,421157,421157,27983910.xml,wi,Preise Verbraucher,"(Zusammenfassung 1800 - neu: Einschätzung EZB-Direktoriumsmitglied) Inflation bleibt auf hohem Niveau - Essen teurer Von Heiko Lossie, dpa.",Wiesbaden,,2011-06-10,"Die EZB werde alles tun, um die Stabilität des Geldwertes zu gewährleisten.","[['ezb', 'tun', 'stabilitat', 'geldwert', 'gewahrleist']]"
20268531,421599,421599,27983106.xml,wi,Nachrichtenüberblick dpa Wirtschaft,"dpa-Nachrichtenüberblick WIRTSCHAFT, 10.6.2011 - 16.45 Uhr.",Hamburg,,2011-06-10,Die Europäische Zentralbank (EZB) sieht nur knapp unterhalb dieser Schwelle keine Gefahr für den Geldwert.,"[['europa', 'zentralbank', 'ezb', 'sieht', 'knapp', 'unterhalb', 'schwell', 'kein', 'gefahr', 'geldwert']]"
20276333,429401,429401,28004648.xml,pl,Inlandspresse,«Neue Osnabrücker Zeitung» zu Finanzkrise/Griechenland.,,,2011-06-14,"Denn Aufgabe der EZB ist es, die Inflation zu bekämpfen.","[['aufgab', 'ezb', 'inflation', 'bekampf']]"
20280918,433986,433986,28015372.xml,wi,EZB Zinsen Preise,EZB erwartet weiterhin hohe Inflation.,Frankfurt/Main,,2011-06-16,EZB erwartet weiterhin hohe Inflation.,"[['ezb', 'erwartet', 'weiterhin', 'hoh', 'inflation']]"
20281252,434320,434320,28016389.xml,wi,EU Preise Verbraucher,"Euroraum: Teuerung im Mai wie erwartet bei 2,7 Prozent.",Luxemburg,,2011-06-16,Die Inflation liegt damit aber immer noch merklich über dem Zielwert der Europäischen Zentralbank (EZB).,"[['inflation', 'liegt', 'imm', 'merklich', 'zielwert', 'europa', 'zentralbank', 'ezb']]"
20281253,434321,434321,28016389.xml,wi,EU Preise Verbraucher,"Euroraum: Teuerung im Mai wie erwartet bei 2,7 Prozent.",Luxemburg,,2011-06-16,Die EZB strebt mittelfristig eine Inflationsrate von knapp zwei Prozent an.,"[['ezb', 'strebt', 'mittelfrist', 'inflationsrat', 'knapp', 'zwei', 'prozent']]"
20281325,434393,434393,28016528.xml,wi,EZB Preise Zinsen,(Zusammenfassung 1245) EZB erwartet auch in naher Zukunft steigende Inflation.,Frankfurt/Main,,2011-06-16,(Zusammenfassung 1245) EZB erwartet auch in naher Zukunft steigende Inflation.,"[['zusammenfass', 'ezb', 'erwartet', 'nah', 'zukunft', 'steigend', 'inflation']]"
20283472,436540,436540,28020530.xml,wi,EU EZB Bundesregierung,Merkel trifft designierten EZB-Chef Draghi im Kanzleramt.,Berlin,,2011-06-16,Draghi hatte Ende Mai langfristig weitere Zinserhöhungen im Euro-Raum zur Eindämmung der Inflation für wahrscheinlich erklärt.,"[['draghi', 'end', 'mai', 'langfrist', 'weit', 'zinserhoh', 'euroraum', 'eindamm', 'inflation', 'wahrschein', 'erklart']]"
20283913,436981,436981,28018743.xml,wi,Nachrichtenüberblick dpa Wirtschaft,"dpa-Nachrichtenüberblick WIRTSCHAFT, 16.6.2011 - 16.00 Uhr.",Brüssel/Berlin,,2011-06-16,EZB erwartet auch in naher Zukunft steigende Inflation Frankfurt/Main Die Europäische Zentralbank (EZB) erwartet auch in den kommenden Monaten steigende Preise im Euroraum und hat Signale für eine Zinsanhebung in Juli bekräftigt.,"[['ezb', 'erwartet', 'nah', 'zukunft', 'steigend', 'inflation', 'frankfurtmain', 'europa', 'zentralbank', 'ezb', 'erwartet', 'kommend', 'monat', 'steigend', 'preis', 'euroraum', 'signal', 'zinsanheb', 'juli', 'bekraftigt']]"
