,Unnamed: 0.1,Unnamed: 0,file,rubrics,keywords,title,city,genre,date,texts,tokens
602644,602644,602644,5994563.xml,wi,Finanzausschuß EG-Währungsunion,zwei Teile Anhörung eins Wirtschaft gegen Europäische Währungsunion um jeden Preis - Bundesbank und Industrie unterstützen die Bundesregierung.,Bonn,,1991-09-18,Auch für den Deutschen Gewerkschaftsbund (DGB) ist die Unabhängigkeit der künftigen Europäischen Zentralbank eine entscheidende Voraussetzung für die Stabilität des Geldwertes.,"[['deutsch', 'gewerkschaftsbund', 'dgb', 'unabhang', 'kunftig', 'europa', 'zentralbank', 'entscheid', 'voraussetz', 'stabilitat', 'geldwert']]"
624173,624173,624173,6003566.xml,wi,EG Bundesbank,Schlesinger: Inflationsrate auf zwei Prozent drücken.,Frankfurt/Main,,1991-09-27,"Das Hauptziel für das künftige europäische Zentralbanksystem ist nach Meinung des deutschen Notenbankchefs, sicherzustellen, «daß eine neugeschaffene Papierwährung für 345 Millionen Europäer ihre Kaufkraft für lange Zeit behält» Eine europäische Zentralbank könne dies nur erreichen, wenn sie unabhängig von Weisungen ihrer nationalen Regierungen oder EG-Stellen sei.","[['hauptziel', 'kunftig', 'europa', 'zentralbanksyst', 'meinung', 'deutsch', 'notenbankchef', 'sicherzustell', '«', 'neugeschaff', 'papierwahr', 'million', 'europa', 'kaufkraft', 'lang', 'zeit', 'behalt', '»', 'europa', 'zentralbank', 'konn', 'erreich', 'unabhang', 'weisung', 'national', 'regier', 'egstell', 'sei']]"
760806,760806,760806,6060720.xml,wi,Währung,Dollar- und Pfundschwund vorerst gestoppt - Politiker beruhigen Devisenmärkte von VWD-Korrespondent Hans-Hutter.,Frankfurt,,1991-11-26,"Am Dienstag hatte zunächst Bundesbank-Direktoriumsmitglied Otmar Issing in Tokio mit seinen Worten von einer «störend hohen Inflationsrate» die D-Mark nochmals gestärkt, weil nervöse Marktteilnehmer daraufhin eine neue Leitzinsspekulation starten wollten.","[['dienstag', 'zunach', 'bundesbankdirektoriumsmitglied', 'otmar', 'issing', 'tokio', 'wort', '«', 'storend', 'hoh', 'inflationsrat', '»', 'dmark', 'nochmal', 'gestarkt', 'nervos', 'marktteilnehm', 'daraufhin', 'neu', 'leitzinsspekulation', 'start', 'wollt']]"
777468,777468,777468,6067299.xml,pl,Finanzplanungsrat Konjunktur,"Zusammenfassung Neuverschuldung bleibt unter 140 Milliarden Mark - Plus 2,5 Prozent Wachstum 1992 erwartet - Bundesbank warnt vor zu hohen Löhnen.",Bonn,,1991-12-03,"Issing deutete an, daß die Bundesbank bei einer Verfestigung einer Inflationsrate von vier Prozent zum Gegensteuern gezwungen sein könnte.","[['issing', 'deutet', 'bundesbank', 'verfest', 'inflationsrat', 'vier', 'prozent', 'gegensteu', 'gezwung']]"
1045221,1045221,1045221,6180525.xml,pl,Preise,Sperrfrist 5. April 1000 Bundesbank: Preissteigerungsrate wird deutlich zurückgehen - Wirtschaftliche Abschwächung noch nicht beendet.,Frankfurt/Main,,1992-04-05,"«Auf jeden Fall» sei damit zur Jahresmitte zu rechnen, wenn der Einfluß der Mineralölsteuererhöhung von Juli 1991 auf die Berechnung der Inflationsrate entfällt, sagte Bundesbank-Direktoriumsmitglied Otmar Issing am Sonntag im «Frankfurter Gespräch» des Hessischen Rundfunks.","[['«', 'fall', '»', 'sei', 'jahresmitt', 'rechn', 'einfluss', 'mineralolsteuererhoh', 'juli', 'berechn', 'inflationsrat', 'entfallt', 'sagt', 'bundesbankdirektoriumsmitglied', 'otmar', 'issing', 'sonntag', '«', 'frankfurt', 'gesprach', '»', 'hessisch', 'rundfunk']]"
1090766,1090766,1090766,6200434.xml,wi,Zinsen Preise,Bundesbank: In Deutschland wird das Geld teuer bleiben.,Frankfurt/Main,,1992-04-27,"Frankfurt/Main «Das Geld muß in Deutschland teuer bleiben.» Mit diesen Worten hat das Direktoriumsmitglied der Deutschen Bundesbank, Prof. Otmar Issing, jede Hoffnung auf eine baldige Lockerung der Hochzinskurses der Zentralbank in Frankfurt im Keim erstickt.","[['frankfurtmain', '«', 'geld', 'muss', 'deutschland', 'teu', 'bleib', '»', 'wort', 'direktoriumsmitglied', 'deutsch', 'bundesbank', 'prof', 'otmar', 'issing', 'hoffnung', 'baldig', 'locker', 'hochzinskurs', 'zentralbank', 'frankfurt', 'keim', 'erstickt']]"
1272974,1272974,1272974,6276781.xml,wi,EG Währungsunion,Extra In künftiger EG-Währungsunion: Zins-Alleingänge unmöglich.,Brüssel,,1992-07-17,Jedes EG-Land mit ähnlichen Eckwerten für Inflation und Geldmenge würde aber genauso handeln - und das würde auch eine künfigte Europäische Zentralbank (EZB) tun.,"[['egland', 'ahnlich', 'eckwert', 'inflation', 'geldmeng', 'genauso', 'handeln', 'kunfigt', 'europa', 'zentralbank', 'ezb', 'tun']]"
1362900,1362900,1362900,6319839.xml,wi,Bundesbank Zinsen,Issing verteidigt Anti-Inflationspolitik der Bundesbank.,Frankfurt/Jackson Hole,,1992-08-29,"Mit Nachdruck wandte sich Issing gegen die These, «ein bißchen Inflation oder bei Bedarf auch ein wenig mehr» könne sich positiv auf das Wirtschaftswachstum auswirken.","[['nachdruck', 'wandt', 'issing', 'thes', '«', 'bissch', 'inflation', 'bedarf', 'wenig', 'mehr', '»', 'konn', 'positiv', 'wirtschaftswachstum', 'auswirk']]"
2034373,2034373,2034373,6609660.xml,wi,Bundesbank,Sperrfrist 23. Juni 1800 Issing: Aussichten auf Rückgang des Preisauftriebs verbessert.,Frankfurt/Köln,,1993-06-23,"«Mit dem deutlich moderaten Lohnwachstum in Westdeutschland haben sich auch die Aussichten verbessert, daß die Inflationsrate im Laufe dieses Jahres anhaltend zurückgeht», sagte Otmar Issing, Mitglied im Direktorium der Bundesbank am Mittwochabend in Köln.","[['«', 'deutlich', 'moderat', 'lohnwachstum', 'westdeutschland', 'aussicht', 'verbessert', 'inflationsrat', 'lauf', 'jahr', 'anhalt', 'zuruckgeht', '»', 'sagt', 'otmar', 'issing', 'mitglied', 'direktorium', 'bundesbank', 'mittwochab', 'koln']]"
2219787,2219787,2219787,6688910.xml,wi,Frankreich Notenbank,Wachsendes Verständnis der Franzosen für Stabilitätskurs.,Paris,,1993-09-14,"Bei der Amtsübergabe an seinen Nachfolger Jean-Claude Trichet sagte er am Dienstag abend in Paris, die Franzosen würden sich immer mehr bewußt, daß die Stabilität der Währung die Kaufkraft der Gehälter und der Ersparnisse schützt, den Konsum unterstützt und die Exporte fördert.","[['amtsubergab', 'nachfolg', 'jeanclaud', 'trichet', 'sagt', 'dienstag', 'abend', 'paris', 'franzos', 'imm', 'mehr', 'bewusst', 'stabilitat', 'wahrung', 'kaufkraft', 'gehalt', 'ersparnis', 'schutzt', 'konsum', 'unterstutzt', 'export', 'fordert']]"
2330272,2330272,2330272,6734762.xml,pl,EG Gipfel,Eurobank nach Frankfurt: «Die einzig sachgerechte Entscheidung» Von dpa-Korrespondent Günther Voss.,Frankfurt/Main,,1993-10-29,"Auch wenn nicht feststeht, ob tatsächlich einmal 2 000 oder 3 000 Beamte in der Eurobank ihre Schreibtische aufstellen werden: die EZB wird - da sind sich alle einig - neue Kreditinstitute anlocken, neue Arbeitsplätze schaffen und so für mehr Kaufkraft, für mehr Umsatz und mehr Steuereinnahmen in der Stadt sorgen - vom Prestige-Zuwachs ganz abgesehen.","[['nicht', 'feststeht', 'tatsach', 'beamt', 'eurobank', 'schreibtisch', 'aufstell', 'ezb', 'neu', 'kreditinstitut', 'anlock', 'neu', 'arbeitsplatz', 'schaff', 'mehr', 'kaufkraft', 'mehr', 'umsatz', 'mehr', 'steuereinnahm', 'stadt', 'sorg', 'prestigezuwach', 'ganz', 'abgeseh']]"
2332259,2332259,2332259,6735651.xml,pl,Inlandspresse,«Berliner Morgenpost» zu Euro-Währungszentrum/Frankfurt.,,Kommentar,1993-10-31,"Ob sie hart bleibt, wird nicht nur von der strikten Ausrichtung der künftigen Europäischen Zentralbank auf Geldwert - und Währungsstabilität abhängen...","[['hart', 'bleibt', 'nicht', 'strikt', 'ausricht', 'kunftig', 'europa', 'zentralbank', 'geldwert', 'wahrungsstabilitat', 'abhang']]"
2932559,97283,97283,7003859.xml,wi,Währung IWF BIZ,BIZ-Präsident plädiert für neue Version von Bretton-Woods-System.,Hamburg,,1994-07-20,"In der Wochenzeitung «Die Woche» erklärte Duisenberg, auch völlig freie Wechselkurse könnten nicht garantieren, daß ein Land sich von unerwünschten Entwicklungen in Drittländern wie Inflation abkoppeln könne.","[['wochenzeit', '«', 'woch', '»', 'erklart', 'duisenberg', 'vollig', 'freie', 'wechselkurs', 'konnt', 'nicht', 'garanti', 'land', 'unerwunscht', 'entwickl', 'drittland', 'inflation', 'abkoppeln', 'konn']]"
3198659,363383,363383,7125639.xml,wi,EU Währung,Zusammenfassung EWI-Präsident: Baldige Entscheidung über gemeinsames Euro-Geld.,Frankfurt/Main,,1994-11-18,"Klar sei auch, daß die künftige Europäische Zentralbank als Nachfolger des EWI als einziges Ziel «die Erhaltung des Geldwertes» verfolge.","[['klar', 'sei', 'kunftig', 'europa', 'zentralbank', 'nachfolg', 'ewi', 'einzig', 'ziel', '«', 'erhalt', 'geldwert', '»', 'verfolg']]"
3383259,547983,547983,3448848.xml,wi,Großbritannien EU Währung,Sperrfrist: 09. Februar 2200 Uhr Schatzkanzler: Bedingungen für Währungsunion ungenügend.,London,,1995-02-09,"Clare ergänzte: «Länder mit unbeweglichem Arbeitsmarkt sind schlechte Kandidaten für die Währungsunion, unabhängig davon, wie niedrig ihre Inflationsrate ist.» Auch der Rahmen für eine gemeinsame Währungspolitik sei noch zu undeutlich fixiert: «Wie würde die Europäische Zentralbank über Zinsen entscheiden?","[['clar', 'erganzt', '«', 'land', 'unbeweg', 'arbeitsmarkt', 'schlecht', 'kandidat', 'wahrungsunion', 'unabhang', 'davon', 'niedrig', 'inflationsrat', '»', 'rahm', 'gemeinsam', 'wahrungspolit', 'sei', 'undeut', 'fixiert', '«', 'europa', 'zentralbank', 'zins', 'entscheid']]"
3523147,687871,687871,3512246.xml,wi,Frankreich Währung,Frankreichs Notenbank will weiter rigorose Geldpolitik betreiben.,Paris,,1995-04-11,"Die Kaufkraft müsse bewahrt werden, schreibt Trichet in seinem Brief, mit dem er den Bericht der Staatsführung zuleitete.","[['kaufkraft', 'muss', 'bewahrt', 'schreibt', 'trichet', 'brief', 'bericht', 'staatsfuhr', 'zuleitet']]"
4045886,1210610,1210610,3738494.xml,wi,EU Währung,Zusammenfassung EWI: Nur Deutschland und Luxemburg reif für Währungsunion.,Frankfurt/Brüssel,,1995-11-22,"Das EWI - Vorläufer einer künftigen Europäischen Zentralbank - sieht bereits erste Warnzeichen dafür, daß sich die Phase sinkender Inflationsraten in der Mehrzahl der EU-Länder dem Ende nähert.","[['ewi', 'vorlauf', 'kunftig', 'europa', 'zentralbank', 'sieht', 'bereit', 'erst', 'warnzeich', 'dafur', 'phas', 'sinkend', 'inflationsrat', 'mehrzahl', 'euland', 'end', 'nahert']]"
4852370,2017094,2017094,4056301.xml,wi,Bundesbank Preise Zinsen,Chefvolkswirt der Bundesbank: Preisstabilität nicht gefährdet.,Frankfurt/Main/Luxemburg,,1996-10-17,"«Wir dürfen nicht in den alten Fehler verfallen, die Inflation für tot oder zum rostigen Nagel zu erklären.» Mit stabiliätswidrigen Zinssenkungen würde die Geldpolitik «nur Inflationserwartungen und Unsicherheiten wecken, aber keine dauerhaften Arbeitsplätze schaffen», sagte Issing laut seinem in Frankfurt verbreiteten Redemanuskript.","[['«', 'durf', 'nicht', 'alt', 'fehl', 'verfall', 'inflation', 'tot', 'rostig', 'nagel', 'erklar', '»', 'stabiliatswidr', 'zinssenk', 'geldpolit', '«', 'inflationserwart', 'unsich', 'weck', 'kein', 'dauerhaft', 'arbeitsplatz', 'schaff', '»', 'sagt', 'issing', 'laut', 'frankfurt', 'verbreitet', 'redemanuskript']]"
5337361,2502085,2502085,4235539.xml,wi,EU Währung Finanzmärkte,EU-Kommission: Wichtige Rolle für Euro an internationalen Märkten.,Brüssel,,1997-04-23,"«Das starke Vertrauen, das eine unabhängige Europäische Zentralbank den Euro gegen Inflation widerstandsfähig macht, und ein großer und liquider Euro-Wertpapiermarkt machen den Euro als Reservewährung attraktiv», hieß es weiter.","[['«', 'stark', 'vertrau', 'unabhang', 'europa', 'zentralbank', 'euro', 'inflation', 'widerstandsfah', 'macht', 'gross', 'liquid', 'eurowertpapiermarkt', 'euro', 'reservewahr', 'attraktiv', '»', 'hiess']]"
5337513,2502237,2502237,4235571.xml,wi,EU Währung,"Gesamtzusammenfassung Mit Indexfunk-Grafik Nr. 6248/49 EU: 13 Länder erfüllen Euro-Defititkriterium - IWF widerspricht Mittelstand sieht in Währungsunion Nachteile, Börse Vorteile.",Brüssel,,1997-04-23,"«Das starke Vertrauen, das eine unabhängige Europäische Zentralbank den Euro gegen Inflation widerstandsfähig macht, und ein großer und liquider Euro-Wertpapiermarkt machen den Euro als Reservewährung attraktiv.»","[['«', 'stark', 'vertrau', 'unabhang', 'europa', 'zentralbank', 'euro', 'inflation', 'widerstandsfah', 'macht', 'gross', 'liquid', 'eurowertpapiermarkt', 'euro', 'reservewahr', 'attraktiv', '»']]"
5457655,2622379,2622379,4276378.xml,wi,Banken BIZ,BIZ-Präsident: Glänzende Aussichten für die Weltwirtschaft.,Basel,,1997-06-09,Duisenberg begründet seinen Optimismus in erster Linie mit einem «ermutigenden Rückgang» der Inflationsrate.,"[['duisenberg', 'begrundet', 'optimismus', 'erst', 'lini', '«', 'ermut', 'ruckgang', '»', 'inflationsrat']]"
5500048,2664772,2664772,4290189.xml,wi,Frankreich EU Währung,Zweite Zusammenfassung - Neu: Interview von Trichet Frankreichs Zentralbank betont Notwendigkeit eines Euro-Sparkurses.,Paris,,1997-06-24,"Trichet vertrat bei seiner Pressekonferenz die Ansicht, die Bank habe ihren Anteil zur Bekämpfung der Arbeitslosigkeit durch die Gewährleistung einer niedrigen Inflationsrate, niedriger Zinsen und eines stabilen Franc geleistet.","[['trichet', 'vertrat', 'pressekonferenz', 'ansicht', 'bank', 'anteil', 'bekampf', 'arbeitslos', 'gewahrleist', 'niedrig', 'inflationsrat', 'niedrig', 'zins', 'stabil', 'franc', 'geleistet']]"
5641621,2806345,2806345,4344992.xml,wi,Banken Zinsen,Trichet: Frankreich folgt nicht automatisch der Bundesbank.,Paris,,1997-08-27,"Dadurch, daß die Inflationsrate weiter auf ein Prozent begrenzt bleibe, werde die Kaufkraft der Franzosen gesichert, hob Trichet hervor.","[['dadurch', 'inflationsrat', 'prozent', 'begrenzt', 'bleib', 'kaufkraft', 'franzos', 'gesichert', 'hob', 'trichet', 'hervor']]"
5751655,81103,81103,4386186.xml,pl,EU Währung,Wochenendzusammenfassung Euro-Streit in Union gewinnt an Schärfe - Herzog: «Schaukämpfe».,Hamburg,,1997-10-12,"Die Währungen der Länder, die in die Währungsunion wollen, sind so stabil, daß von Inflation kaum noch zu sprechen ist.» Die politische Diskussion werde sich in Luft auflösen: «Wir werden die Kriterien, was immer man über ihre wissenschaftliche Beweisbarkeit sagen mag, erfüllen können.» Der Präsident des Europäischen Währungsinstituts, Wim Duisenberg, sagte der «Süddeutschen Zeitung», er sehe für die EU-Länder nicht die Notwendigkeit, die Stabilitätskriterien auf die Kommastelle zu erfüllen.","[['wahrung', 'land', 'wahrungsunion', 'stabil', 'inflation', 'kaum', 'sprech', '»', 'polit', 'diskussion', 'luft', 'auflos', '«', 'kriteri', 'imm', 'wissenschaft', 'beweisbar', 'sag', 'mag', 'erfull', '»', 'prasident', 'europa', 'wahrungsinstitut', 'wim', 'duisenberg', 'sagt', '«', 'suddeutsch', 'zeitung', '»', 'seh', 'euland', 'nicht', 'notwend', 'stabilitatskriteri', 'kommastell', 'erfull']]"
5777427,106875,106875,4395611.xml,wi,Währung EU Frankreich,Duisenberg: Starke Europäische Zentralbank Garant für stabilen Euro.,Paris,,1997-10-22,"Nach seinem vorab veröffentlichten Redetext zeigte sich Duisenberg überzeugt, daß die Europäische Zentralbank bei der Bekämpfung der Inflation auf eine Unterstützung in allen einmal am Euro beteiligten Länder setzen könne.","[['vorab', 'veroffentlicht', 'redetext', 'zeigt', 'duisenberg', 'uberzeugt', 'europa', 'zentralbank', 'bekampf', 'inflation', 'unterstutz', 'euro', 'beteiligt', 'land', 'setz', 'konn']]"
5835429,164877,164877,4415891.xml,pl,Parteien Grüne KORR,"Streitlustige Grüne: Das Zusammenraufen für den Wahlkampf beginnt Von Günther Voss, dpa.",Bonn,Feature,1997-11-13,"Er schlägt vor, die Direktoriumsmitglieder der künftigen Europäischen Zentralbank für Inflation, Arbeitslosigkeit und hohe Zinsen einfach mit «Gehaltsabzug» zu bestrafen.","[['schlagt', 'direktoriumsmitglied', 'kunftig', 'europa', 'zentralbank', 'inflation', 'arbeitslos', 'hoh', 'zins', 'einfach', '«', 'gehaltsabzug', '»', 'bestraf']]"
6010777,340225,340225,4477808.xml,wi,Wirtschaftspolitik,Zusammenfassung Rexrodt: Währungsunion braucht marktwirtschaftlichen Ordnungsrahmen.,Bonn,,1998-01-23,"Zu diesen Prinzipien zählte der Minister Vorgaben für eine Geldpolitik, die die Europäische Zentralbank auf ein stabiles Preisniveau verpflichte, eine direkte Kreditvergabe durch die Bank an Mitgliedsstaaten verbiete und ihre Unabhängigkeit gegenüber politischen Weisungen garantiere.","[['prinzipi', 'zahlt', 'minist', 'vorgab', 'geldpolit', 'europa', 'zentralbank', 'stabil', 'preisniveau', 'verpflicht', 'direkt', 'kreditvergab', 'bank', 'mitgliedsstaat', 'verbiet', 'unabhang', 'gegenub', 'polit', 'weisung', 'garanti']]"
6201988,531436,531436,4547629.xml,pl,Inlandspresse,«Nordsee-Zeitung« (Bremerhaven) zu Euro.,,Kommentar,1998-04-02,"Dieses Vertrauen ist angesichts der strengen Verpflichtung der Europäischen Zentralbank, den Geldwert stabil zu halten, auch gut zu beg ründen.","[['vertrau', 'angesicht', 'streng', 'verpflicht', 'europa', 'zentralbank', 'geldwert', 'stabil', 'halt', 'gut', 'beg', 'rund']]"
6324745,654193,654193,4591545.xml,wi,Bundesbank Preise Lebenshaltung,Sperrfrist 18. Mai 2400 Bundesbank: Offizielle Inflationsrate überzeichnet Teuerung deutlich.,Frankfurt/Main,,1998-05-18,"Eine möglichst genaue Berechnung der Teuerung in Europa sei jedoch dringend nötig, weil die der Preisstabilität verpflichtete Europäische Zentralbank bei ihrer gemeinsamen Geldpolitik für die elf Euro-Teilnehmer einen zuverlässigen Maßstab für die Inflation im gemeinsamen Währungsgebiet benötige.","[['moglich', 'genau', 'berechn', 'teuer', 'europa', 'sei', 'jedoch', 'dringend', 'notig', 'preisstabilitat', 'verpflichtet', 'europa', 'zentralbank', 'gemeinsam', 'geldpolit', 'elf', 'euroteilnehm', 'zuverlass', 'massstab', 'inflation', 'gemeinsam', 'wahrungsgebiet', 'benot']]"
6352501,681949,681949,4601343.xml,wi,Arbeitsmarkt,Nobelpreisträger: Hohe Arbeitslosigkeit wegen falscher Geldpolitik.,Hamburg,,1998-05-27,"«Sie steht vielmehr auf dem Standpunkt: Wenn die Wirtschaft eine niedrigere Arbeitslosigkeit wünscht, soll sie sich selbst drum kümmern.» Eine Steuerreform macht seiner Ansicht nach nur Sinn, wenn sie aus Angst vor Inflation nicht durch eine harte Geldpolitik der Europäischen Zentralbank konterkariert werde.","[['«', 'steht', 'vielmehr', 'standpunkt', 'wirtschaft', 'niedrig', 'arbeitslos', 'wunscht', 'drum', 'kumm', '»', 'steuerreform', 'macht', 'ansicht', 'sinn', 'angst', 'inflation', 'nicht', 'hart', 'geldpolit', 'europa', 'zentralbank', 'konterkariert']]"
6358233,687681,687681,4603457.xml,wi,Währung Euro EZB KORR,"Mit Bild FKM07 Historischer Schritt in aller Stille - Euro-Zentralbank startet Von Thomas Kaufner, dpa.",Frankfurt/Main,Feature,1998-05-29,"Die Dresdner Bank geht dagegen davon aus, daß sich die EZB zumindest zu Anfang kein reines Geldmengenziel vorgeben werde, «da sich erst noch erweisen muß, ob der Zusammenhang zwischen Geldnachfrage und Inflation im neuen Währungsgebiet stabil ist».","[['dresdn', 'bank', 'geht', 'dageg', 'davon', 'ezb', 'zumind', 'anfang', 'kein', 'rein', 'geldmengenziel', 'vorgeb', '«', 'erst', 'erweis', 'muss', 'zusammenhang', 'geldnachfrag', 'inflation', 'neu', 'wahrungsgebiet', 'stabil', '»']]"
6400572,730020,730020,4621240.xml,wi,Währung,Tietmeyer: Erfolg der D-Mark verpflichtet zu stabilem Euro.,Kassel,,1998-06-15,"«Ich hoffe und wünsche, daß dieses Erbe (der Erfolg der D-Mark) auch von der europäischen Zentralbank und von allen für den künftigen Geldwert des Euros verantwortlichen politischen Instanzen als Auftrag verstanden wird», sagte Tietmeyer bei einem Festakt zum 50.","[['«', 'hoff', 'wunsch', 'erb', 'erfolg', 'dmark', 'europa', 'zentralbank', 'kunftig', 'geldwert', 'euros', 'verantwort', 'polit', 'instanz', 'auftrag', 'verstand', '»', 'sagt', 'tietmey', 'festakt']]"
6465143,794591,794591,4647494.xml,wi,Bundesbank Währung,Tietmeyer: Einige Euro-Länder müssen Schuldenquote reduzieren.,Stuttgart,,1998-07-08,"«Die Inflationsraten in fast allen Teilnehmerländern sind niedrig, die langfristigen Zinsen ebenfalls.» Die Europäische Zentralbank verfüge über einen «großen Grad an vertraglich festgelegter Unabhängigkeit».","[['«', 'inflationsrat', 'fast', 'teilnehmerland', 'niedrig', 'langfrist', 'zins', 'ebenfall', '»', 'europa', 'zentralbank', 'verfug', '«', 'gross', 'grad', 'vertrag', 'festgelegt', 'unabhang', '»']]"
6778722,1108170,1108170,4779957.xml,wi,Konjunktur Asien Europa,Patten fordert Zinssenkung in Europa zur Überwindung der Asienkrise.,Singapur,,1998-10-27,"«Die europäischen Zentralbanken sind immer noch besessen von der Inflationsgefahr, während das wirkliche Problem längst die Deflation ist», meinte der konservative britische Politiker.","[['«', 'europa', 'zentralbank', 'imm', 'besess', 'inflationsgefahr', 'wirklich', 'probl', 'lang', 'deflation', '»', 'meint', 'konservativ', 'britisch', 'polit']]"
6808900,1138348,1138348,4796479.xml,wi,Bundesbank Zinsen,Union und FDP begrüßen Abwehr von Zinssenkungs-Forderung.,Bonn,,1998-11-05,Nach Aussage des stellvertretenden CDU/CSU-Fraktionsvorsitzenden Friedrich Merz sind aber die «Angriffe» von Lafontaine gegen die Unabhängigkeit der Europäischen Zentralbank (EZB) und die Stabilität des Geldwertes noch nicht endgültig abgewendet.,"[['aussag', 'stellvertret', 'cducsufraktionsvorsitz', 'friedrich', 'merz', '«', 'angriff', '»', 'lafontain', 'unabhang', 'europa', 'zentralbank', 'ezb', 'stabilitat', 'geldwert', 'nicht', 'endgult', 'abgewendet']]"
6833340,1162788,1162788,4818325.xml,wi,EZB Währung Konjunktur,Issing: Wachstumspfad für Euroland - EZB beachtet auch Wechselkurs.,Frankfurt/Main,,1998-11-13,"Der deutsche Preisindex überzeichne die Inflation um drei Viertel Prozentpunkte, sagte Issing der «Börsen-Zeitung» (Samstagausgabe).","[['deutsch', 'preisindex', 'uberzeichn', 'inflation', 'drei', 'viertel', 'prozentpunkt', 'sagt', 'issing', '«', 'borsenzeit', '»', 'samstagausgab']]"
6885067,1214515,1214515,4883754.xml,wi,EZB Währung Euro,EZB-Spitze beschließt Handlungsstrategie - Zielgrößen festgezurrt.,Frankfurt/Main,,1998-12-01,Für 1999 will die EZB auf jeden Fall die durchschnittliche Inflationsrate in den elf Euro-Staaten unter zwei Prozent halten.,"[['ezb', 'fall', 'durchschnitt', 'inflationsrat', 'elf', 'eurostaat', 'zwei', 'prozent', 'halt']]"
6905438,1234886,1234886,4907757.xml,pl,Tarife Metall,"Sperrfrist 8. Dezember 0530 Experte: Tarifforderung von 6,5 Prozent mehr Lohn zu hoch.",Hamburg,,1998-12-08,"Die Inflationsrate würde so weit ansteigen, daß die Europäische Zentralbank der Entwicklung einen Riegel vorschieben müßte.","[['inflationsrat', 'weit', 'ansteig', 'europa', 'zentralbank', 'entwickl', 'riegel', 'vorschieb', 'musst']]"
6909121,1238569,1238569,4908940.xml,wi,EZB Euro,EZB fordert mehr Stellen - Issing: Zentralbank auf Dauer zu klein.,Frankfurt/Main,,1998-12-09,"Angesichts der extrem niedrigen Teuerungsraten in der Euro-Zone warnte Issing vor der Sorge, die Entwicklung könne in eine Deflation umschlagen.","[['angesicht', 'extr', 'niedrig', 'teuerungsrat', 'eurozon', 'warnt', 'issing', 'sorg', 'entwickl', 'konn', 'deflation', 'umschlag']]"
6922601,1252049,1252049,4914354.xml,wi,Banken Zinsen EU Haushalt,EZB-Chefvolkswirt Issing mahnt Haushaltsdisziplin an.,Hamburg,,1998-12-13,"Die EZB kann nach seinen Worten lediglich die kurzfristigen Zinsen steuern, im Euro-Raum sei aber der langfristige Realzins - der Kapitalmarktzins abzüglich des Preisanstiegs - die entscheidende Größe.","[['ezb', 'wort', 'ledig', 'kurzfrist', 'zins', 'steu', 'euroraum', 'sei', 'langfrist', 'realzin', 'kapitalmarktzin', 'abzug', 'preisanstieg', 'entscheid', 'gross']]"
7006689,1336137,1336137,4948155.xml,wi,Finanzen Europa Asien,Zusammenfassung Deutschland und Japan wollen gemeinsam gegen Spekulation vorgehen.,Frankfurt/Main,,1999-01-15,"Die europäische Wirtschafts- und Währungsunion hatte damit ihre Probe als Stabilitätsgemeinschaft schon vor der Euro-Einführung bestanden.» Eine stabilitätsorientierte Finanz- und Lohnpolitik schaffe der Europäischen Zentralbank bei der geringen Geldentwertung «Spielräume für die Geldpolitik, das Wachstum zu stimulieren».","[['europa', 'wirtschaft', 'wahrungsunion', 'prob', 'stabilitatsgemeinschaft', 'schon', 'euroeinfuhr', 'bestand', '»', 'stabilitatsorientiert', 'finanz', 'lohnpolit', 'schaff', 'europa', 'zentralbank', 'gering', 'geldentwert', '«', 'spielraum', 'geldpolit', 'wachstum', 'stimuli', '»']]"
7230942,1560390,1560390,5040909.xml,wi,EU Finanzen,Zusammenfassung Prodi warnt vor Deflation - Issing mahnt zu Defizitabbau.,Frankfurt/Main,,1999-03-24,Zusammenfassung Prodi warnt vor Deflation - Issing mahnt zu Defizitabbau.,"[['zusammenfass', 'prodi', 'warnt', 'deflation', 'issing', 'mahnt', 'defizitabbau']]"
7447197,1776645,1776645,5124995.xml,wi,Währung Euro,Sperrfrist 29. Mai 0530 IWH-Chef Pohl: Zentralbankpolitik Mitgrund für Euroschwäche.,Köln,,1999-05-29,"Die EZB müsse ihre «Zinsen immer so gestalten, daß sie den Geldwert stabilisieren», sagte Pohl.","[['ezb', 'muss', '«', 'zins', 'imm', 'gestalt', 'geldwert', 'stabilisi', '»', 'sagt', 'pohl']]"
7553000,1882448,1882448,5167724.xml,wi,Währung Euro Bilanz KORR,"Mit Bild FRA04 Euro hat Feuertaufe bestanden - Stabiler als D-Mark Von Wolf Pampel, dpa.",Frankfurt/Main,Feature,1999-06-29,"Im Gegensatz zur Bundesbank, die zur Abwehr importierter Inflation an einer starken D-Mark interessiert sein mußte, brauchen sich EZB- Präsident Wim Duisenberg und seine Mannschaft nicht mehr so stark um den Wechselkurs zu kümmern.","[['gegensatz', 'bundesbank', 'abwehr', 'importiert', 'inflation', 'stark', 'dmark', 'interessiert', 'musst', 'brauch', 'ezb', 'prasident', 'wim', 'duisenberg', 'mannschaft', 'nicht', 'mehr', 'stark', 'wechselkur', 'kumm']]"
