date,r_mp_acco,r_mp_neut,r_mp_rest,r_ec_nega,r_ec_neut,r_ec_posi,lm_score,abs_score
2006-01-12,0.21071704257637267,0.17411987714693586,0.6151630802766915,0.3378957135592089,0.08445416440105995,0.5776501220397311,-0.627906976744186,0.7777777777777778
2006-02-02,0.22106035907536126,0.1036889362081756,0.6752507047164632,0.3763941012158207,0.11612241815823195,0.5074834806259474,-0.2682926829268293,0.7647058823529411
2006-03-02,0.18324012247995966,0.08176967851319021,0.7349901990068501,0.3274197354636761,0.10235521852982177,0.5702250460065021,-0.6785714285714286,0.7857142857142857
2006-04-06,0.15889730209870126,0.10121782533591854,0.7398848725653802,0.2665857357001539,0.11976565260180655,0.6136486116980395,-0.4761904761904762,0.7777777777777778
2006-05-04,0.15406920768146692,0.10685262836054964,0.7390781639579834,0.2781607522784027,0.12511012028674048,0.5967291274348568,-0.5238095238095238,0.8333333333333334
2006-06-08,0.08703774877642427,0.0412169742947813,0.8717452769287944,0.23416103541606026,0.12735462539839895,0.6384843391855407,-0.30612244897959184,0.7777777777777778
2006-07-06,0.08073293161014812,0.05609855992136863,0.8631685084684833,0.25735489003759304,0.09648332670149096,0.6461617832609161,-0.4615384615384616,0.8688524590163934
2006-08-03,0.16746946737013538,0.07584837283564154,0.7566821597942232,0.34698650020737154,0.1095159407122305,0.543497559080398,-0.2727272727272727,0.7959183673469388
2006-08-31,0.14467813910783756,0.07967445457168139,0.7756474063204811,0.27354558212449565,0.07729573051292976,0.6491586873625745,-0.4909090909090909,0.9142857142857144
2006-10-05,0.16229246966326008,0.058366883995663525,0.7793406463410765,0.2718996212493789,0.053806508431419584,0.6742938703192015,-0.2727272727272727,0.7142857142857143
2006-11-02,0.15152071213759802,0.07894408292149395,0.769535204940908,0.3010421691180006,0.08580456448036956,0.6131532664016298,-0.2058823529411765,0.7021276595744681
2006-12-07,0.1136981434473516,0.049922988103993315,0.836378868448655,0.26150729448701565,0.08093980187090773,0.6575529036420766,-0.2835820895522388,0.7078651685393258
2007-01-11,0.11245042345508408,0.07351444816599319,0.8140351283789227,0.2811727290739951,0.1139724810921986,0.6048547898338065,-0.3333333333333333,0.8356164383561644
2007-02-08,0.08057299736836165,0.08103062207712397,0.8383963805545143,0.2626938197582242,0.09554696638979186,0.641759213851984,-0.18309859154929575,0.8222222222222222
2007-03-08,0.1343508455764445,0.05810690130802594,0.8075422531155295,0.2557733340157509,0.10870399704626067,0.6355226689379885,-0.492063492063492,0.7303370786516854
2007-04-12,0.08977015186314005,0.06721877172706127,0.8430110764097987,0.3083928147447269,0.10998087549587973,0.5816263097593933,-0.41818181818181815,0.8271604938271605
2007-05-10,0.11392827008735995,0.07798891561531042,0.8080828142973296,0.31583915270629176,0.12712790594460718,0.5570329413491011,-0.13333333333333333,0.8271604938271605
2007-06-06,0.14069885768044885,0.07953729764428526,0.7797638446752659,0.32634997300325946,0.1343666448636783,0.5392833821330623,-0.3157894736842105,0.8640776699029126
2007-07-05,0.09760519535913684,0.06585510952076824,0.8365396951200949,0.3264293229142016,0.13819550142403694,0.5353751756617615,-0.3972602739726027,0.8681318681318682
2007-09-06,0.2469722385165972,0.18702338682840172,0.566004374655001,0.4559482842545245,0.09052078697009383,0.4535309287753817,-0.12,0.7631578947368421
2007-10-04,0.1412056540898384,0.22663571531345605,0.6321586305967055,0.4224719633649277,0.10335925531808897,0.4741687813169834,-0.14754098360655735,0.7464788732394366
2007-11-08,0.1481055003396788,0.23776442148385696,0.6141300781764643,0.4476241291544963,0.09559072693699927,0.4567851439085044,-0.07042253521126761,0.7631578947368421
2007-12-06,0.14234244402326066,0.12960539178916428,0.728052164187575,0.4154076643007241,0.059787249303792124,0.5248050863954838,0.05263157894736842,0.8
2008-01-10,0.1453989845772024,0.13775035386783946,0.7168506615549581,0.4144388427019323,0.08047919488328233,0.5050819624147853,-0.16666666666666666,0.7460317460317459
2008-02-07,0.17992016434086935,0.10190382875301576,0.7181760069061149,0.4563779809606,0.1379980973058591,0.4056239217335408,-0.07407407407407407,0.6857142857142857
2008-03-06,0.10589905399494476,0.11002243015969937,0.7840785158453559,0.3089797290136896,0.17532674122968114,0.5156935297566293,0.0,0.6363636363636364
2008-04-10,0.15658630853501102,0.08576597825988254,0.7576477132051065,0.37268259920820135,0.1505614033975169,0.4767559973942817,-0.015873015873015872,0.7647058823529411
2008-05-08,0.12946732335676012,0.07981411459003904,0.7907185620532008,0.3992581688938069,0.07280564510807079,0.5279361859981222,0.1875,0.6266666666666667
2008-06-05,0.1842995343369406,0.12890713983556612,0.6867933258274933,0.3764178738185141,0.08805269182689011,0.5355294343545958,0.09090909090909093,0.7011494252873564
2008-07-03,0.07467338365942583,0.17739294193277685,0.7479336744077973,0.3643156176964501,0.0714390966692966,0.5642452856342534,-0.08860759493670886,0.7954545454545454
2008-08-07,0.06348547589872272,0.19709060133126755,0.7394239227700097,0.4554054991463896,0.08549202976387035,0.45910247108974,0.06666666666666668,0.6666666666666666
2008-09-04,0.06993278520585845,0.15703118071725267,0.7730360340768889,0.5605573716924839,0.09381413826979,0.3456284900377261,-0.06329113924050632,0.6
2008-10-02,0.31170914759732776,0.14612960793514626,0.542161244467526,0.5212884394633184,0.17045206919064396,0.3082594913460376,0.21518987341772156,0.4722222222222222
2008-11-06,0.4162441237710382,0.2280098168176742,0.3557460594112876,0.6171537889114903,0.09955856729482374,0.28328764379368604,0.21311475409836064,0.3142857142857143
