date;art_sentiment1_noecb_dm_we_ip
02-janv-06;.5015527606010437
03-janv-06;2.358284950256348
04-janv-06;-.5472149848937988
05-janv-06;-.0767592191696167
06-janv-06;1.090785026550293
09-janv-06;1.023392677307129
10-janv-06;.9067459106445313
11-janv-06;1.361292719841003
12-janv-06;.3839943706989288
13-janv-06;.3858558833599091
16-janv-06;.143293485045433
17-janv-06;1.232668876647949
18-janv-06;.6633608341217041
19-janv-06;.301898717880249
20-janv-06;.2164332121610642
23-janv-06;.1309677064418793
24-janv-06;.0455022007226944
25-janv-06;1.4277184009552
26-janv-06;.9637953042984009
27-janv-06;1.695849537849426
30-janv-06;2.352492094039917
31-janv-06;-.5077149868011475
01feb2006;-1.155391931533814
02feb2006;.7421066761016846
03feb2006;.5189335942268372
06feb2006;.96235591173172
07feb2006;.4844896495342255
08feb2006;-.7572149634361267
09feb2006;1.337185025215149
10feb2006;.7389600276947022
13feb2006;-.1836274713277817
14feb2006;.7502850294113159
15feb2006;.7237850427627564
16feb2006;.0048608053475618
17feb2006;-.0846391906961799
20feb2006;-.1741391867399216
21feb2006;.2419850081205368
22feb2006;-.0624977685511112
23feb2006;1.903584957122803
24feb2006;1.23178505897522
27feb2006;1.369192719459534
28feb2006;.1857849955558777
01-mars-06;.1187850162386894
02-mars-06;.9713295102119446
03-mars-06;.7459263205528259
06-mars-06;1.038117527961731
07-mars-06;.6952856779098511
08-mars-06;.4986153542995453
09-mars-06;-.0977149903774261
10-mars-06;.5859366059303284
13-mars-06;.1188608109951019
14-mars-06;-1.305714964866638
15-mars-06;.111118346452713
16-mars-06;-.1707150191068649
17-mars-06;-.0806663036346436
20-mars-06;.6510593295097351
21-mars-06;.0213608145713806
22-mars-06;1.258485078811646
23-mars-06;.1987850069999695
24-mars-06;-.3518311083316803
27-mars-06;-.8075230717658997
28-mars-06;1.710322499275208
29-mars-06;1.107360363006592
30-mars-06;.1197850108146668
31-mars-06;1.615885138511658
03apr2006;1.021318316459656
04apr2006;2.35868501663208
05apr2006;1.212468981742859
06apr2006;1.288990497589111
07apr2006;.7044677138328552
10apr2006;.5860081911087036
11apr2006;.4849539697170258
12apr2006;.2184307873249054
13apr2006;2.0606849193573
14apr2006;.9586464911699295
17apr2006;-.1433919370174408
18apr2006;1.412485003471375
19apr2006;1.089024662971497
20apr2006;.9454048275947571
21apr2006;.8017849922180176
24apr2006;.4622850120067596
25apr2006;2.12348484992981
26apr2006;2.261035203933716
27apr2006;2.92118501663208
28apr2006;1.458718299865723
01may2006;1.249765276908875
02may2006;.9247849583625794
03may2006;1.744784951210022
04may2006;1.003095984458923
05may2006;.4550297260284424
08may2006;.8679704666137695
09may2006;.1078165844082832
10may2006;.5191007889807224
11may2006;.9303849935531616
12may2006;.4345287084579468
15may2006;.6056568622589111
16may2006;.3570849895477295
17may2006;-.3793900012969971
18may2006;.4767850041389465
19may2006;.7607850432395935
22may2006;.6504907608032227
23may2006;-1.161214947700501
24may2006;.2422060519456863
25may2006;1.059234976768494
26may2006;.434785008430481
29may2006;.8187850117683411
30may2006;.9009016752243042
31may2006;.3871766924858093
01-juin-06;.1628355532884598
02-juin-06;.7769667506217957
05-juin-06;.2299533039331436
06-juin-06;.4635854661464691
07-juin-06;.2533528208732605
08-juin-06;.0769762024283409
09-juin-06;.0029720366001129
12-juin-06;.2545323669910431
13-juin-06;-1.749214887619019
14-juin-06;-.7952149361371994
15-juin-06;.1587850153446198
16-juin-06;.1046407744288445
19-juin-06;-.0517871119081974
20-juin-06;-.1938395649194717
21-juin-06;.9592099785804749
22-juin-06;.8710977435112
23-juin-06;-.0742150023579597
26-juin-06;.6024259924888611
27-juin-06;.5413355827331543
28-juin-06;.8128858208656311
29-juin-06;-.2462149858474731
30-juin-06;.403451681137085
03-juil-06;1.242649078369141
04-juil-06;1.09941828250885
05-juil-06;.9818979501724243
06-juil-06;1.332345843315125
07-juil-06;.6889424920082092
10-juil-06;.8518118262290955
11-juil-06;2.982784986495972
12-juil-06;1.3475022315979
13-juil-06;1.150784969329834
14-juil-06;.4266108274459839
17-juil-06;.4266108274459839
18-juil-06;1.753084897994995
19-juil-06;1.833884954452515
20-juil-06;1.914685010910034
21-juil-06;1.911884903907776
24-juil-06;1.911884903907776
25-juil-06;1.286501616239548
26-juil-06;.6611183285713196
27-juil-06;-.0127149978652596
28-juil-06;.6140350103378296
31-juil-06;1.000676035881043
01aug2006;.0525517091155052
02aug2006;.3191393911838532
03aug2006;1.147479057312012
04aug2006;.2938008904457092
07aug2006;-.0357070490717888
08aug2006;.5165390111505985
09aug2006;1.068785071372986
10aug2006;.5208355188369751
11aug2006;.314285010099411
14aug2006;.3521721959114075
15aug2006;1.097784996032715
16aug2006;1.240284979343414
17aug2006;1.382784962654114
18aug2006;1.382784962654114
21aug2006;1.004785060882568
22aug2006;.5713599920272827
23aug2006;-.2807149887084961
24aug2006;.2537972927093506
25aug2006;.7883095741271973
28aug2006;1.322821855545044
29aug2006;-.45421501994133
30aug2006;1.496884942054749
31aug2006;.2186183333396912
01-sept-06;.3384511768817902
04-sept-06;.0322536192834377
05-sept-06;.8141350150108337
06-sept-06;.1487850099802017
07-sept-06;.6657850220799446
08-sept-06;1.182785034179688
11-sept-06;.6081982254981995
12-sept-06;-.4629798233509064
13-sept-06;-.0139270853251219
14-sept-06;-1.680215120315552
15-sept-06;-.4201012551784515
18-sept-06;-.4201012551784515
19-sept-06;-.389048308134079
20-sept-06;-.842940628528595
21-sept-06;-.4790320793787544
22-sept-06;-.115123530228928
